PFE1,PFE2,PFE3,PFE4,PFE,EFE1,EFE2,EFE3,EFE,SCI1,SCI2,SCI3,SCI,FAC1,FAC2,FAC3,FAC,KEM1,KEM2,KEM3,KEM
5,5,5,5,20,5,5,1,11,5,1,5,11,5,5,5,15,1,5,1,7
5,5,5,5,20,5,4,5,14,5,5,5,15,5,5,5,15,5,5,5,15
4,4,3,2,13,4,3,2,9,4,3,4,11,4,5,3,12,3,4,3,10
4,4,4,4,16,4,4,4,12,4,4,4,12,4,5,3,12,4,4,4,12
4,4,4,3,15,4,4,4,12,5,4,5,14,5,5,5,15,4,4,4,12
5,1,1,1,8,5,3,3,11,5,5,5,15,5,5,5,15,1,3,1,5
5,5,5,4,19,5,5,5,15,4,5,5,14,4,5,5,14,4,4,4,12
5,5,5,5,20,5,5,5,15,5,5,5,15,5,5,2,12,5,5,5,15
4,2,3,2,11,4,3,4,11,4,4,5,13,4,4,4,12,2,4,2,8
5,3,5,3,16,5,4,5,14,2,5,5,12,3,5,5,13,2,3,5,10
5,4,4,4,17,4,4,4,12,4,4,4,12,4,4,5,13,4,4,4,12
4,5,4,5,18,5,5,4,14,4,2,3,9,5,5,4,14,4,3,4,11
5,5,4,4,18,4,4,4,12,5,5,4,14,4,4,5,13,4,4,4,12
5,4,4,4,17,5,5,4,14,4,2,3,9,5,5,5,15,5,5,5,15
5,4,4,4,17,5,5,4,14,5,5,5,15,5,5,5,15,4,4,5,13
4,4,4,4,16,4,4,4,12,4,4,3,11,3,3,4,10,3,4,3,10
5,5,5,2,17,5,5,5,15,5,4,5,14,5,5,4,14,4,4,4,12
3,2,1,1,7,2,5,4,11,3,5,5,13,5,4,2,11,3,2,2,7
4,3,3,3,13,4,4,4,12,4,4,5,13,4,4,4,12,3,4,4,11
4,4,4,3,15,4,3,3,10,3,5,3,11,3,4,5,12,3,3,3,9
5,5,3,3,16,3,5,4,12,5,5,5,15,3,5,5,13,3,4,4,11
5,4,5,5,19,5,5,5,15,5,5,4,14,5,5,5,15,5,5,5,15
3,2,2,1,8,2,5,5,12,5,4,5,14,5,5,5,15,5,2,2,9
5,4,3,2,14,5,4,3,12,5,5,5,15,5,5,5,15,3,4,4,11
4,4,3,3,14,4,4,3,11,4,4,5,13,5,5,5,15,2,3,3,8
5,3,3,2,13,4,4,4,12,4,5,4,13,5,3,2,10,2,4,3,9
5,4,4,3,16,4,4,4,12,5,4,4,13,3,4,5,12,4,5,4,13
2,2,3,2,9,2,4,2,8,4,2,4,10,3,3,2,8,2,2,2,6
5,4,3,2,14,5,4,4,13,5,3,5,13,4,5,4,13,2,5,4,11
4,4,2,3,13,4,4,4,12,2,3,5,10,5,4,4,13,2,2,3,7
4,4,4,2,14,3,1,3,7,3,4,4,11,4,3,3,10,1,2,3,6
5,3,2,4,14,4,3,4,11,5,5,5,15,5,5,4,14,3,4,3,10
5,4,4,3,16,4,4,4,12,4,4,4,12,4,4,4,12,5,4,4,13
4,4,4,3,15,4,5,5,14,4,3,3,10,5,5,5,15,4,4,4,12
4,3,4,1,12,4,4,3,11,4,4,5,13,4,2,2,8,3,4,3,10
3,5,4,5,17,3,3,4,10,3,4,4,11,4,4,4,12,3,3,3,9
4,4,3,3,14,4,3,3,10,4,4,3,11,3,3,4,10,3,3,3,9
3,3,3,2,11,3,4,3,10,5,3,5,13,4,3,5,12,2,2,3,7
4,4,4,3,15,4,4,4,12,5,4,5,14,5,5,5,15,3,4,3,10
4,4,3,4,15,4,4,4,12,4,4,4,12,4,4,4,12,4,4,4,12
3,3,3,1,10,3,5,5,13,5,3,5,13,5,5,5,15,1,3,3,7
4,4,3,4,15,4,4,4,12,4,5,3,12,4,4,4,12,3,4,4,11
4,4,4,3,15,4,4,4,12,4,4,4,12,4,4,4,12,4,4,5,13
4,3,3,3,13,3,5,4,12,4,4,3,11,4,4,4,12,4,3,3,10
4,5,5,5,19,4,2,3,9,4,3,4,11,4,5,5,14,4,5,4,13
5,4,3,3,15,4,5,5,14,4,5,5,14,5,5,2,12,5,4,3,12
3,4,4,2,13,5,5,5,15,5,3,5,13,5,4,3,12,4,2,3,9
5,3,2,1,11,3,5,5,13,5,3,5,13,5,5,4,14,1,4,3,8
3,2,1,1,7,3,1,2,6,4,2,5,11,3,4,2,9,1,1,1,3
4,4,4,4,16,4,4,4,12,5,5,5,15,4,4,4,12,4,4,4,12
5,5,5,5,20,5,4,5,14,4,2,3,9,3,3,5,11,5,3,5,13
5,4,2,2,13,4,4,4,12,5,5,5,15,5,4,4,13,2,4,3,9
4,4,4,4,16,4,4,3,11,3,3,3,9,3,3,3,9,3,3,4,10
2,5,3,3,13,4,4,4,12,4,3,5,12,5,5,3,13,2,3,3,8
5,5,3,3,16,5,5,4,14,5,5,5,15,3,3,4,10,3,4,3,10
5,5,4,2,16,5,5,4,14,5,2,5,12,5,5,5,15,2,2,2,6
5,5,5,5,20,5,5,5,15,5,5,5,15,5,5,5,15,5,5,5,15
4,4,3,2,13,3,4,3,10,4,4,4,12,3,4,5,12,2,2,2,6
5,5,5,4,19,5,5,5,15,5,3,5,13,5,5,3,13,4,4,4,12
4,3,3,4,14,4,4,4,12,4,4,4,12,4,4,4,12,3,4,3,10
4,4,3,2,13,4,4,4,12,3,2,4,9,4,4,3,11,4,4,2,10
5,5,5,5,20,5,5,5,15,5,5,5,15,5,5,5,15,5,5,5,15
5,4,4,2,15,5,5,5,15,5,2,4,11,5,2,1,8,4,4,4,12
5,4,3,3,15,5,5,5,15,2,2,5,9,5,5,4,14,2,4,3,9
4,3,3,4,14,4,3,4,11,2,2,4,8,3,3,4,10,2,3,3,8
4,4,3,4,15,3,4,4,11,4,4,4,12,4,4,4,12,4,4,4,12
3,3,2,3,11,3,4,4,11,4,3,4,11,3,4,3,10,3,2,3,8
5,5,5,3,18,5,5,5,15,5,5,5,15,4,4,5,13,5,5,5,15
4,4,3,3,14,4,4,3,11,4,3,5,12,4,3,5,12,3,3,3,9
4,3,2,1,10,3,4,4,11,4,4,5,13,5,5,5,15,2,3,3,8
4,2,2,2,10,4,4,4,12,4,4,4,12,3,4,4,11,2,2,3,7
3,2,3,2,10,4,5,5,14,5,4,5,14,5,5,5,15,4,4,4,12
4,5,4,4,17,5,4,4,13,5,4,4,13,4,5,5,14,5,5,5,15
4,4,4,3,15,4,4,4,12,4,4,4,12,4,4,4,12,3,4,4,11
5,4,4,2,15,4,4,4,12,5,4,5,14,5,5,4,14,3,3,4,10
3,5,2,2,12,4,4,4,12,3,3,2,8,4,3,2,9,5,5,5,15
5,5,5,1,16,5,5,5,15,5,5,5,15,5,5,5,15,1,1,5,7
3,2,2,3,10,3,3,3,9,5,3,5,13,4,3,5,12,2,2,2,6
4,5,4,3,16,4,4,4,12,5,4,4,13,5,5,4,14,4,5,5,14
4,3,3,4,14,5,4,4,13,4,4,4,12,5,5,5,15,3,3,4,10
4,5,3,3,15,4,5,4,13,4,4,4,12,4,4,4,12,4,4,4,12
4,5,4,4,17,4,4,3,11,3,4,5,12,4,3,3,10,4,5,4,13
5,5,5,5,20,5,5,5,15,5,5,5,15,5,5,5,15,5,5,5,15
4,4,3,3,14,4,4,3,11,4,3,3,10,4,4,5,13,3,4,4,11
5,5,4,4,18,5,5,5,15,5,5,5,15,5,5,5,15,4,4,4,12
4,4,3,3,14,3,3,2,8,4,4,4,12,4,4,4,12,3,3,3,9
5,5,5,4,19,5,5,5,15,5,4,5,14,5,5,4,14,5,5,4,14
5,5,5,3,18,5,5,5,15,5,5,5,15,4,4,4,12,4,5,4,13
5,5,5,5,20,5,5,5,15,5,5,5,15,5,5,5,15,5,5,5,15
3,3,4,3,13,3,4,3,10,3,3,3,9,2,3,3,8,4,4,3,11
5,4,5,4,18,3,5,4,12,5,4,5,14,5,4,5,14,4,5,4,13
4,4,5,4,17,5,5,4,14,5,5,3,13,4,5,5,14,5,4,4,13
5,5,5,5,20,4,4,4,12,4,4,3,11,4,5,5,14,4,4,4,12
4,3,3,4,14,5,4,3,12,4,3,5,12,3,3,4,10,2,3,3,8
4,4,4,3,15,4,5,4,13,4,4,4,12,4,4,4,12,4,4,4,12
3,3,3,2,11,5,3,3,11,4,4,3,11,3,3,4,10,3,3,3,9
4,4,3,5,16,4,4,4,12,4,4,3,11,4,4,4,12,4,3,4,11
5,4,5,5,19,5,5,5,15,5,4,5,14,4,5,5,14,4,4,4,12
4,4,4,4,16,4,4,4,12,4,4,4,12,4,4,4,12,4,4,4,12
4,4,4,4,16,4,4,4,12,4,4,4,12,4,4,4,12,4,4,4,12
5,5,5,5,20,5,5,4,14,5,5,5,15,5,5,5,15,4,5,4,13
4,3,3,4,14,3,3,3,9,3,3,3,9,3,3,3,9,3,3,3,9
4,5,4,4,17,4,4,5,13,5,5,5,15,2,5,4,11,5,5,5,15
4,4,3,1,12,3,4,4,11,3,4,5,12,4,4,3,11,2,2,2,6
5,5,5,5,20,5,5,5,15,5,5,5,15,5,5,5,15,5,5,4,14
1,2,2,2,7,3,2,2,7,1,1,1,3,3,2,2,7,3,2,2,7
5,5,5,5,20,5,5,5,15,5,4,4,13,4,4,4,12,4,4,4,12
3,3,2,3,11,4,3,2,9,5,4,5,14,4,4,5,13,4,4,4,12
3,3,3,2,11,3,4,4,11,4,4,4,12,3,3,3,9,3,4,4,11
4,4,4,4,16,4,4,4,12,4,4,4,12,4,4,4,12,4,4,4,12
3,2,2,4,11,3,2,2,7,5,5,5,15,3,5,4,12,4,3,5,12
4,3,4,4,15,5,4,4,13,4,3,4,11,4,4,5,13,4,4,4,12
5,5,4,4,18,4,5,5,14,5,5,5,15,2,5,1,8,3,3,3,9
4,3,2,4,13,3,1,2,6,5,5,5,15,3,4,5,12,3,3,4,10
4,4,4,4,16,4,3,3,10,4,5,4,13,3,4,4,11,4,4,4,12
5,4,4,5,18,5,5,5,15,5,4,5,14,5,5,5,15,5,5,5,15
4,3,3,4,14,4,4,3,11,5,4,4,13,4,4,5,13,4,3,4,11
